medicine_id,medicine_name,category,company,dosage_mg,pack_size,manufacturing_cost,import_status,demand_level,expiry_months,prescription_required,price
65,Ace,Syrup,Square,500,5,98.04,Local,High,20,0,261.23
66,Ace,Injection,NovoNordisk,250,5,80.03,Local,High,13,1,133.02
67,Napa,Injection,Renata,100,5,133.52,Imported,Medium,12,1,451.18
68,Ceevit,Capsule,Beximco,100,1,76.74,Imported,Low,13,0,265.7
69,Napa,Tablet,Square,1000,5,148.23,Imported,Medium,22,0,350.33
70,Napa,Capsule,Beximco,1000,1,15.77,Local,Low,33,1,37.11
71,Napa,Tablet,Renata,500,20,92.52,Imported,Low,6,0,253.29
72,Ceevit,Tablet,NovoNordisk,100,10,146.65,Imported,Low,26,1,439.87
73,Ceevit,Capsule,NovoNordisk,100,20,12.62,Local,Medium,10,0,23.86
74,Seclo,Injection,NovoNordisk,100,20,181.67,Local,Medium,35,0,259.46
75,Ace,Syrup,Beximco,500,1,85.35,Local,Medium,15,0,129.05
76,Ceevit,Injection,Square,500,1,155.16,Imported,Low,12,0,413.73
77,Seclo,Tablet,NovoNordisk,250,5,142.19,Imported,High,31,1,350.56
78,Napa,Tablet,Incepta,250,5,67.05,Local,Low,27,1,160.69
79,Ceevit,Syrup,Incepta,250,5,83.26,Local,Medium,6,1,172.02
80,Ceevit,Injection,Beximco,100,20,190.21,Local,High,24,1,365.49
81,Seclo,Tablet,Incepta,500,5,199.37,Local,Medium,18,0,355.01
82,Ace,Injection,Renata,1000,20,148.24,Local,Low,19,1,342.73
83,Seclo,Capsule,Square,100,20,154.46,Local,Low,22,0,378.56
84,Ace,Injection,NovoNordisk,500,5,84.18,Imported,Low,11,1,290.27
85,Ace,Tablet,Incepta,50,20,66.56,Local,Low,17,0,100.35
86,Seclo,Capsule,Beximco,250,1,135.66,Local,High,35,1,343.85
87,Insulin,Capsule,Square,500,1,54.69,Imported,Medium,27,0,280.88
88,Ceevit,Capsule,Beximco,250,10,183.25,Imported,High,18,1,406.09
89,Ace,Injection,Renata,250,5,13.81,Local,Low,23,0,31.42
90,Insulin,Injection,Square,50,5,194.26,Local,High,15,0,344.82
91,Insulin,Injection,Beximco,1000,10,187.64,Local,Low,22,0,333.14
92,Paracetamol,Capsule,Beximco,50,5,47.48,Imported,Medium,23,1,193.88
93,Napa,Capsule,Beximco,1000,10,29.82,Imported,High,7,1,178.97
94,Histacin,Tablet,Renata,50,1,47.6,Local,Medium,16,1,85.84
95,Seclo,Tablet,Incepta,100,20,112.7,Imported,Medium,32,1,285.18
96,Napa,Capsule,Beximco,1000,10,15.68,Imported,Low,30,1,127.45
97,Insulin,Injection,Renata,1000,1,186.87,Local,Low,30,0,425.63
98,Histacin,Syrup,Renata,500,1,170.94,Local,Medium,10,0,412.04
99,Ceevit,Injection,Renata,50,10,146.45,Imported,Medium,35,0,384.1
100,Ace,Tablet,Incepta,500,10,51.67,Imported,High,34,0,253.58
101,Paracetamol,Syrup,Beximco,1000,5,34.54,Imported,Low,9,0,130.88
102,Ceevit,Capsule,Square,100,20,172.51,Local,Low,23,1,349.96
103,Ceevit,Tablet,Square,250,5,161.98,Imported,Medium,35,1,476.3
104,Ceevit,Capsule,Beximco,500,5,179.91,Imported,Low,17,0,332.27
105,Paracetamol,Syrup,Beximco,50,10,33.32,Local,Medium,12,1,45.24
106,Insulin,Tablet,Square,50,5,46.54,Imported,Low,16,0,190.64
107,Ace,Tablet,Incepta,50,10,112.85,Local,High,29,1,225.58
108,Insulin,Syrup,NovoNordisk,500,1,137.48,Local,Medium,9,0,319.07
109,Ceevit,Capsule,Beximco,500,20,45.19,Local,Low,30,0,73.79
110,Ceevit,Tablet,Renata,500,5,79.3,Local,High,11,1,177.51
111,Napa,Tablet,NovoNordisk,250,1,187.83,Imported,High,16,0,562.39
112,Insulin,Tablet,Incepta,1000,10,181.68,Local,Low,26,1,383.03
113,Ceevit,Injection,Incepta,250,5,194.04,Local,Low,9,1,275.38
114,Paracetamol,Injection,NovoNordisk,250,5,116.44,Imported,High,19,1,422.76
115,Paracetamol,Injection,Beximco,50,1,155.35,Imported,High,21,0,527.73
116,Napa,Injection,Incepta,100,1,47.29,Imported,Medium,29,1,132.9
117,Napa,Capsule,Incepta,500,1,10.78,Imported,High,18,1,148.57
118,Napa,Tablet,Incepta,50,10,34.8,Imported,Low,28,0,202.01
119,Napa,Capsule,Square,100,1,141.52,Imported,Medium,21,1,419.73
120,Ceevit,Capsule,NovoNordisk,1000,10,86.57,Local,High,24,0,211.26
121,Histacin,Syrup,Beximco,500,20,65.32,Imported,High,34,0,298.65
122,Paracetamol,Tablet,Beximco,500,20,59.1,Imported,Medium,31,0,159.79
123,Napa,Syrup,Square,500,5,151.92,Local,Low,26,1,377.45
124,Ceevit,Syrup,Renata,1000,5,18.24,Local,Low,30,1,25.23
125,Ceevit,Injection,Renata,100,1,109.54,Local,Medium,17,1,185.37
126,Napa,Injection,Renata,1000,10,136.7,Imported,Medium,28,1,383.69
127,Insulin,Syrup,Renata,50,1,192.29,Local,High,34,1,336.22
128,Paracetamol,Syrup,Renata,1000,10,78.26,Imported,Low,15,1,199.22
129,Seclo,Capsule,Beximco,250,5,26.32,Local,Medium,14,0,57.36
130,Paracetamol,Capsule,Square,50,1,51.01,Local,High,13,1,143.01
131,Insulin,Syrup,NovoNordisk,100,10,190.39,Local,Low,29,1,247.75
132,Histacin,Syrup,NovoNordisk,50,5,146.56,Local,Medium,17,1,269.56
133,Histacin,Capsule,Incepta,1000,5,178.46,Local,Medium,29,1,399.45
134,Histacin,Syrup,Incepta,500,10,51.89,Imported,Low,7,1,134.69
135,Ceevit,Tablet,Beximco,250,1,112.63,Imported,Medium,25,0,289.6
136,Ceevit,Injection,NovoNordisk,500,1,169.17,Local,High,10,0,450.94
137,Ceevit,Injection,NovoNordisk,1000,5,172.21,Local,Medium,31,1,332.29
138,Seclo,Injection,Renata,250,5,126.64,Local,Low,32,1,231.31
139,Histacin,Capsule,Renata,100,20,69.41,Local,Medium,8,0,117.49
140,Napa,Tablet,Incepta,50,20,59.09,Local,Medium,11,0,84.89
141,Seclo,Capsule,Square,1000,5,132.38,Local,Medium,10,0,256.57
142,Seclo,Syrup,Beximco,250,1,184.49,Imported,Low,11,1,400.74
143,Ceevit,Tablet,Beximco,50,5,86.91,Local,Medium,23,1,148.97
144,Insulin,Syrup,Beximco,1000,1,170.91,Local,High,12,0,370.35
145,Ace,Syrup,Renata,1000,1,119.47,Imported,Low,21,1,379.2
146,Ace,Injection,Square,250,10,135.37,Imported,Low,21,0,359.47
147,Insulin,Capsule,Incepta,500,20,137.96,Imported,High,25,0,457.05
148,Seclo,Syrup,Renata,100,10,114.24,Imported,Medium,34,1,278.79
149,Paracetamol,Syrup,Square,500,20,58.77,Imported,Medium,33,1,255.47
150,Histacin,Capsule,Square,50,5,60.26,Imported,Low,17,0,196.41
151,Napa,Tablet,NovoNordisk,100,5,88.35,Local,Low,36,0,218.38
152,Ceevit,Tablet,Incepta,100,10,117.05,Local,Low,21,1,191.23
153,Ceevit,Injection,NovoNordisk,250,1,112.19,Local,Low,16,0,155.14
154,Paracetamol,Syrup,Square,1000,20,133.44,Imported,Low,34,0,368.99
155,Insulin,Syrup,Renata,250,20,161.94,Local,Low,27,0,289.39
156,Napa,Capsule,Square,100,20,45.78,Imported,Low,15,1,184.14
157,Seclo,Capsule,Square,500,10,131.64,Local,High,27,0,202.67
158,Seclo,Injection,Beximco,250,5,176.08,Imported,Medium,16,1,370.13
159,Ace,Injection,Incepta,100,10,169.13,Local,Medium,28,1,328.25
160,Ceevit,Capsule,Square,500,5,15.05,Local,High,21,0,64.98
161,Insulin,Syrup,Square,500,10,153.09,Imported,High,25,0,381.67
162,Napa,Syrup,Beximco,500,5,195.84,Local,High,27,1,423.23
163,Paracetamol,Capsule,Renata,50,5,139.89,Local,Low,34,0,210.62
164,Ace,Capsule,Renata,250,20,104.64,Imported,High,10,1,408.07
165,Histacin,Syrup,NovoNordisk,50,5,65.45,Imported,Medium,36,1,186.23
166,Ceevit,Injection,Renata,100,5,55.54,Imported,Low,32,0,258.23
167,Seclo,Capsule,NovoNordisk,100,20,61.98,Imported,Low,29,1,233.17
168,Paracetamol,Capsule,Beximco,250,20,69.59,Imported,Low,23,1,272.71
169,Ceevit,Capsule,Square,1000,10,150.17,Local,Low,30,1,329.95
170,Ace,Capsule,NovoNordisk,1000,1,61.5,Imported,Low,19,0,177.03
171,Paracetamol,Tablet,Beximco,250,10,124.0,Local,Low,10,1,270.07
172,Ceevit,Injection,NovoNordisk,50,5,177.5,Imported,Low,28,0,417.24
173,Ace,Capsule,Square,100,1,37.41,Local,Medium,31,1,60.87
174,Ceevit,Capsule,Square,50,10,65.14,Local,Medium,30,1,99.6
175,Seclo,Tablet,Square,250,1,127.48,Local,High,10,1,261.2
176,Napa,Capsule,Square,1000,10,174.45,Local,High,17,1,341.11
177,Seclo,Syrup,Square,500,10,37.62,Imported,Medium,29,1,181.86
178,Histacin,Injection,Incepta,1000,1,69.51,Local,Low,8,0,151.95
179,Ace,Syrup,Beximco,100,20,16.99,Local,Low,15,0,30.21
180,Ceevit,Capsule,Beximco,250,10,101.23,Local,High,14,1,245.55
181,Ace,Capsule,NovoNordisk,1000,20,152.09,Imported,Medium,33,0,422.51
182,Ace,Injection,Beximco,250,10,34.45,Imported,High,26,0,256.2
183,Napa,Tablet,Renata,50,20,165.08,Local,Low,31,1,343.01
184,Paracetamol,Tablet,Incepta,250,20,33.39,Imported,High,14,1,223.84
185,Paracetamol,Syrup,Renata,500,1,108.46,Local,High,10,0,181.25
186,Napa,Injection,Incepta,50,1,103.48,Local,Medium,11,1,183.14
187,Insulin,Injection,Incepta,1000,5,188.02,Local,High,16,0,411.43
188,Histacin,Capsule,Beximco,100,1,121.96,Imported,Medium,15,1,324.12
189,Ace,Capsule,Square,1000,10,176.4,Imported,High,6,1,434.86
190,Histacin,Capsule,Beximco,1000,5,178.04,Local,High,15,0,453.66
191,Paracetamol,Tablet,NovoNordisk,100,1,134.54,Imported,High,26,0,418.3
192,Napa,Capsule,Incepta,1000,1,101.09,Imported,Low,33,1,306.68
193,Ace,Tablet,Beximco,100,5,95.71,Imported,Low,31,1,339.08
194,Napa,Syrup,Renata,50,20,31.96,Imported,Low,34,0,167.23
195,Paracetamol,Syrup,NovoNordisk,250,5,19.01,Imported,Low,24,1,115.58
196,Histacin,Tablet,Renata,100,10,196.56,Local,High,25,0,398.7
197,Ace,Tablet,Square,500,20,109.53,Local,Low,33,0,217.14
198,Histacin,Tablet,Square,250,10,81.2,Imported,Medium,12,0,265.34
199,Paracetamol,Syrup,Incepta,250,20,43.67,Local,Low,33,0,81.74
200,Insulin,Capsule,Square,250,1,154.66,Imported,Low,14,1,366.68
201,Seclo,Tablet,Renata,50,5,79.15,Local,Low,17,0,195.52
202,Seclo,Injection,Renata,250,5,176.86,Local,Medium,18,0,390.86
203,Paracetamol,Injection,Square,50,10,199.14,Local,Medium,13,0,493.27
204,Insulin,Tablet,Beximco,500,20,132.75,Imported,High,12,1,450.03
205,Insulin,Injection,Beximco,1000,1,139.68,Imported,Low,29,0,408.3
206,Seclo,Tablet,Incepta,250,1,171.29,Imported,Low,29,1,490.0
207,Seclo,Syrup,Square,50,10,176.15,Imported,High,32,0,504.52
208,Paracetamol,Tablet,Square,1000,5,88.75,Local,High,14,1,199.92
209,Histacin,Injection,NovoNordisk,500,20,173.07,Local,Medium,28,1,277.84
210,Seclo,Syrup,Beximco,1000,10,83.28,Imported,High,34,0,366.54
211,Insulin,Tablet,Renata,50,10,50.98,Local,Medium,26,1,88.61
212,Seclo,Injection,Square,100,10,149.13,Imported,Medium,6,0,393.92
213,Ace,Capsule,NovoNordisk,100,10,88.65,Imported,Low,11,0,328.17
214,Paracetamol,Injection,Beximco,1000,10,26.2,Imported,Medium,23,1,107.74
215,Paracetamol,Syrup,Incepta,50,5,195.05,Imported,Low,17,1,433.28
216,Paracetamol,Capsule,Renata,250,20,98.7,Imported,Medium,20,1,364.15
217,Napa,Tablet,Renata,50,20,117.49,Local,High,22,1,256.26
218,Paracetamol,Capsule,Square,50,20,56.52,Local,High,24,1,113.74
219,Histacin,Syrup,Incepta,50,5,50.23,Local,Medium,33,1,68.43
220,Histacin,Syrup,NovoNordisk,100,5,24.52,Local,High,6,1,100.9
221,Napa,Syrup,Beximco,500,5,48.55,Local,Medium,19,1,98.77
222,Paracetamol,Injection,Renata,50,5,99.97,Local,Medium,30,0,183.47
223,Ace,Tablet,Square,500,1,196.6,Local,High,21,1,452.78
224,Seclo,Capsule,NovoNordisk,250,10,150.85,Local,Low,10,0,204.5
225,Histacin,Capsule,Square,50,1,55.51,Local,High,9,0,140.48
226,Seclo,Capsule,NovoNordisk,500,5,147.19,Local,High,21,0,368.47
227,Seclo,Capsule,Renata,100,5,135.82,Local,Low,18,1,201.64
228,Insulin,Syrup,Incepta,1000,10,106.53,Local,Low,9,0,208.4
229,Ace,Syrup,Beximco,1000,10,90.92,Imported,Medium,27,1,248.02
230,Insulin,Injection,Square,50,20,69.53,Local,Medium,17,0,131.39
231,Napa,Syrup,Beximco,500,10,198.52,Local,Medium,17,0,280.36
232,Seclo,Capsule,Beximco,100,10,20.4,Local,Low,17,1,47.16
233,Ace,Tablet,NovoNordisk,100,10,54.67,Imported,Medium,22,1,222.8
234,Insulin,Injection,Square,500,20,164.49,Local,Medium,9,0,361.73
235,Ceevit,Capsule,Incepta,50,5,86.15,Imported,High,25,1,260.12
236,Ceevit,Capsule,Renata,50,10,13.36,Local,Medium,28,1,33.2
237,Ceevit,Tablet,Square,50,20,115.65,Imported,Low,23,0,339.34
238,Seclo,Syrup,NovoNordisk,500,5,38.93,Imported,High,36,0,194.61
239,Napa,Capsule,Beximco,250,20,19.91,Imported,Low,15,1,149.96
240,Histacin,Capsule,Incepta,50,1,154.38,Imported,High,21,1,483.68
241,Seclo,Capsule,Renata,250,5,107.46,Local,Low,13,1,226.27
242,Paracetamol,Injection,Beximco,500,20,143.91,Local,Low,12,1,332.0
243,Histacin,Tablet,Renata,1000,10,26.13,Local,High,31,0,88.39
244,Seclo,Injection,NovoNordisk,250,1,21.38,Imported,Medium,33,1,148.4
245,Ceevit,Tablet,NovoNordisk,1000,1,114.17,Local,Low,20,0,230.72
246,Histacin,Tablet,Incepta,100,10,182.22,Local,High,34,0,343.48
247,Napa,Capsule,NovoNordisk,250,1,172.88,Local,Medium,34,0,256.35
248,Ceevit,Injection,Renata,1000,10,53.14,Local,Low,32,1,76.05
249,Ace,Tablet,NovoNordisk,100,1,148.86,Local,Low,26,1,294.98
250,Ceevit,Capsule,Beximco,100,20,136.68,Imported,Medium,29,1,421.17
251,Paracetamol,Injection,Renata,500,5,188.71,Local,High,10,0,355.67
252,Insulin,Syrup,NovoNordisk,50,20,190.7,Imported,Low,12,0,469.83
253,Ceevit,Capsule,Renata,50,5,140.99,Local,High,15,0,246.03
254,Ace,Syrup,Incepta,100,5,52.07,Imported,High,20,1,264.68
255,Paracetamol,Capsule,Renata,250,10,45.86,Imported,High,20,0,244.68
256,Paracetamol,Tablet,Beximco,500,20,174.29,Local,Low,27,1,355.1
257,Ace,Syrup,NovoNordisk,500,20,193.3,Imported,Low,20,1,582.68
258,Ceevit,Capsule,Square,250,20,32.57,Local,Medium,12,0,61.23
259,Insulin,Capsule,NovoNordisk,100,5,191.44,Imported,Low,27,1,524.99
260,Napa,Syrup,NovoNordisk,50,1,34.0,Imported,Medium,7,0,131.42
261,Ace,Tablet,NovoNordisk,100,5,46.32,Local,Low,6,1,67.81
262,Paracetamol,Injection,Renata,1000,20,19.48,Imported,Medium,9,1,171.32
263,Seclo,Tablet,Renata,50,10,199.23,Local,High,7,1,340.9
264,Insulin,Capsule,Renata,100,1,138.32,Imported,High,15,0,437.76
265,Ace,Injection,NovoNordisk,250,1,159.65,Imported,High,15,0,446.87
266,Paracetamol,Tablet,Square,100,1,57.34,Imported,High,33,0,246.73
267,Paracetamol,Capsule,NovoNordisk,250,20,165.52,Imported,High,10,1,398.85
268,Ace,Capsule,Beximco,100,5,132.46,Imported,Medium,21,0,296.69
269,Seclo,Injection,Square,500,10,142.22,Local,Medium,11,1,240.96
270,Ceevit,Syrup,Renata,100,10,153.39,Local,High,32,1,275.25
271,Paracetamol,Tablet,NovoNordisk,1000,20,87.64,Local,Medium,8,0,170.29
272,Ceevit,Capsule,Renata,1000,10,49.93,Local,Medium,29,1,77.53
273,Ace,Capsule,NovoNordisk,500,20,131.87,Local,Low,17,1,245.27
274,Insulin,Tablet,Square,1000,5,59.58,Imported,Low,32,1,227.61
275,Napa,Syrup,Renata,1000,1,190.49,Local,Medium,28,1,464.17
276,Ceevit,Injection,Renata,1000,20,126.04,Imported,Low,20,1,318.12
277,Paracetamol,Capsule,NovoNordisk,1000,1,161.01,Imported,Medium,22,1,485.09
278,Ceevit,Tablet,Square,100,1,90.72,Imported,Medium,17,0,216.96
279,Ceevit,Injection,Renata,250,1,17.31,Local,Low,33,0,41.53
280,Ceevit,Tablet,Incepta,100,10,80.17,Imported,Medium,32,0,225.33
281,Histacin,Syrup,Incepta,1000,1,29.92,Imported,Low,12,0,136.15
282,Histacin,Injection,Incepta,1000,10,40.21,Imported,Medium,15,1,210.22
283,Paracetamol,Injection,Beximco,1000,20,69.07,Local,High,11,1,150.94
284,Insulin,Tablet,Renata,1000,5,143.74,Imported,High,25,0,471.72
285,Seclo,Injection,NovoNordisk,100,5,111.66,Local,High,25,1,214.27
286,Paracetamol,Syrup,Square,250,20,13.02,Local,Medium,12,0,21.2
287,Ceevit,Capsule,Beximco,500,20,72.09,Imported,Low,36,0,176.57
288,Histacin,Syrup,Beximco,100,20,121.19,Local,Low,15,0,222.09
289,Insulin,Tablet,Beximco,500,10,190.78,Local,Medium,17,0,391.1
290,Insulin,Injection,Beximco,500,5,83.16,Imported,Low,9,1,175.17
291,Ace,Tablet,Square,250,1,124.88,Imported,Low,24,0,297.62
292,Ace,Syrup,Renata,50,20,144.88,Imported,Low,22,0,299.96
293,Ceevit,Injection,Incepta,50,10,110.05,Local,Low,13,1,200.0
294,Seclo,Injection,Square,1000,1,133.68,Local,Medium,10,1,275.58
295,Napa,Tablet,Beximco,500,20,172.66,Local,Medium,20,0,418.69
296,Napa,Tablet,NovoNordisk,50,20,83.03,Local,High,8,0,162.38
297,Histacin,Capsule,Incepta,1000,1,179.91,Imported,High,17,1,397.65
298,Histacin,Capsule,Beximco,100,5,87.67,Imported,High,22,1,275.61
299,Histacin,Tablet,Incepta,250,5,151.45,Local,Medium,32,1,346.09
300,Ceevit,Injection,Square,50,5,44.49,Imported,Low,20,1,155.84
301,Ace,Tablet,Renata,1000,5,18.96,Imported,Medium,9,0,149.93
302,Ace,Syrup,Beximco,1000,5,58.96,Local,Low,33,1,130.98
303,Napa,Tablet,NovoNordisk,50,10,66.72,Imported,Medium,7,1,215.85
304,Seclo,Syrup,Square,250,1,118.58,Imported,High,19,0,387.35
305,Ceevit,Injection,Beximco,50,20,172.38,Local,High,28,0,345.69
306,Ace,Tablet,Beximco,250,5,104.81,Imported,High,32,0,291.6
307,Paracetamol,Capsule,Renata,250,10,30.81,Local,Low,25,0,64.17
308,Ceevit,Capsule,Beximco,1000,1,158.28,Imported,Low,18,1,465.73
309,Insulin,Syrup,Square,50,10,45.36,Imported,Medium,33,1,158.86
310,Ace,Capsule,Renata,50,10,194.07,Local,Low,24,0,436.84
311,Napa,Syrup,Beximco,500,20,75.4,Local,High,18,1,216.3
312,Ceevit,Syrup,Renata,250,20,20.67,Imported,Medium,7,1,158.3
313,Napa,Syrup,Beximco,500,20,62.34,Local,Medium,20,0,127.99
314,Seclo,Tablet,NovoNordisk,1000,20,162.89,Local,Medium,23,1,362.24
315,Seclo,Injection,Renata,50,5,137.69,Local,Medium,22,1,273.99
316,Paracetamol,Syrup,Beximco,250,10,148.99,Local,Low,27,1,285.87
317,Histacin,Tablet,Renata,500,5,11.75,Imported,High,7,1,192.52
318,Napa,Injection,Beximco,500,1,176.23,Imported,Medium,31,1,548.93
319,Ace,Injection,Beximco,500,5,43.78,Imported,High,22,1,188.96
320,Histacin,Injection,NovoNordisk,100,1,78.91,Local,Medium,23,1,134.23
321,Ace,Tablet,Renata,500,10,192.89,Local,Low,19,0,419.05
322,Napa,Syrup,Renata,1000,10,160.66,Imported,Low,33,0,415.29
323,Seclo,Tablet,Square,100,1,196.72,Imported,High,12,0,633.51
324,Insulin,Capsule,Beximco,500,5,44.18,Imported,Medium,17,0,217.25
325,Ace,Capsule,Square,50,5,189.58,Imported,High,27,0,401.1
326,Ace,Syrup,NovoNordisk,500,5,124.97,Local,Low,9,1,259.23
327,Seclo,Injection,Renata,1000,5,129.4,Local,High,35,0,309.87
328,Insulin,Injection,Square,250,5,198.45,Local,Medium,27,1,389.04
329,Paracetamol,Tablet,NovoNordisk,50,10,43.78,Imported,High,12,0,245.26
330,Insulin,Tablet,Beximco,50,1,34.34,Local,Medium,30,0,66.72
331,Paracetamol,Capsule,Incepta,1000,5,110.46,Imported,High,26,0,388.72
332,Napa,Syrup,Incepta,50,5,159.13,Local,Medium,9,0,324.85
333,Napa,Syrup,Square,500,1,19.87,Imported,Low,11,0,184.6
334,Insulin,Syrup,Beximco,1000,1,42.39,Local,High,20,0,135.2
335,Paracetamol,Tablet,NovoNordisk,50,20,105.39,Imported,High,34,0,296.64
336,Ace,Injection,NovoNordisk,1000,1,95.49,Imported,Medium,21,0,287.08
337,Ace,Tablet,NovoNordisk,1000,20,198.8,Local,Medium,12,1,380.98
338,Seclo,Tablet,Beximco,1000,20,79.42,Local,Medium,29,0,192.76
339,Napa,Tablet,NovoNordisk,50,10,120.63,Local,Low,16,1,178.58
340,Seclo,Tablet,Incepta,50,20,48.33,Local,Medium,9,1,107.88
341,Histacin,Tablet,Square,50,10,49.17,Local,Low,22,1,70.52
342,Histacin,Tablet,Square,50,1,25.75,Imported,Medium,30,1,150.24
343,Ceevit,Capsule,Incepta,100,20,111.47,Imported,High,22,0,391.7
344,Insulin,Tablet,Incepta,100,1,73.06,Local,High,23,1,209.0
345,Histacin,Injection,Square,250,1,156.37,Local,Low,26,1,321.97
346,Paracetamol,Syrup,NovoNordisk,1000,20,122.18,Imported,High,30,0,479.35
347,Ceevit,Syrup,Beximco,250,5,80.03,Imported,Medium,29,1,239.62
348,Ace,Tablet,Incepta,50,10,36.33,Local,High,11,1,100.62
349,Ace,Capsule,Renata,1000,10,145.86,Imported,Low,34,0,500.03
350,Insulin,Capsule,Renata,100,1,190.71,Imported,Medium,10,0,421.29
